Group,StudInLesson,Day,Les,Aud,Week,Subg,Name,CafI,Subject,Subj_type,Date,Subj_CafID,PrepID,Themas,Substitution_Name,Substitution_PrepID,Substitution_Subject,Substitution_Subj_type,Substitution_Subj_CafID,Lesson_ID,Lesson_Num
ЧИПфд-01-21,0,2,3,1-6,26,0,Карпов А.И.,15,Информатика,л.,2022-02-15,15,178,По теме занятия,,,,,,,
ЧНПфд-01-20,0,2,4,1-6,26,0,Вершинина Н.П.,15,Информационные технологии в профессиональной деятельности,л.,2022-02-15,15,0,По теме занятия,,,,,,,
ЧСЛфд-01-20,0,2,5,1-6,26,0,Караманян М.И.,15,Инженерная компьютерная графика,л.,2022-02-15,15,0,По теме занятия,,,,,,,
ЧПВфд-01-19,0,2,6,1-6,26,0,Сарахатунова И.В.,15,Информационные технологии в профессиональной деятельности,л.,2022-02-15,15,0,По теме занятия,,,,,,,
ЧСАфд-01-20,0,3,1,1-6,26,0,Иджиян Т.Ю.,15,Иностранный язык в профессиональной деятельности,л.,2022-02-16,15,171,По теме занятия,,,,,,,
ЧРРрд-01-21,0,3,2,1-6,26,0,Сарахатунова И.В.,15,Информационное общество (информатика),л.,2022-02-16,15,0,По теме занятия,,,,,,,
ЧПВфд-01-18,0,3,3,1-6,26,0,Огаркова Л.А.,15,Основы экономики менеджмента и маркетинга,л.,2022-02-16,15,188,По теме занятия,,,,,,,
ЧСАфд-01-21,0,3,4,1-6,26,0,Исаева В.В.,15,Литература,л.,2022-02-16,15,172,По теме занятия,,,,,,,
ЧСЛфд-01-20,0,3,5,1-6,26,0,Караманян М.И.,15,Инженерная компьютерная графика,л.,2022-02-16,15,0,По теме занятия,,,,,,,
ЧДЗфд-01-18,0,3,6,1-6,26,0,Сарахатунова И.В.,15,Информационное обеспечение профессиональной деятельности,л.,2022-02-16,15,0,По теме занятия,,,,,,,
ЧИПфд-01-20,0,4,1,1-6,26,0,Иджиян Т.Ю.,15,Иностранный язык в профессиональной деятельности,л.,2022-02-17,15,171,По теме занятия,,,,,,,
ЧСЛфд-01-21,0,4,2,1-6,26,0,Сарахатунова И.В.,15,Введение в специальность включая информатику,л.,2022-02-17,15,0,По теме занятия,,,,,,,
ЧПВфд-01-18,0,4,3,1-6,26,0,Огаркова Л.А.,15,Основы экономики менеджмента и маркетинга,л.,2022-02-17,15,188,По теме занятия,,,,,,,
ЧСАфд-02-21,0,4,4,1-6,26,0,Исаева В.В.,15,Литература,л.,2022-02-17,15,172,По теме занятия,,,,,,,
ЧДЗфд-01-19,0,4,5,1-6,26,0,Караманян М.И.,15,Основы конструкторско-технологического обеспечения дизайна,л.,2022-02-17,15,0,По теме занятия,,,,,,,
ЧРРрд-01-21,0,4,6,1-6,26,0,Сарахатунова И.В.,15,Информационное общество (информатика),л.,2022-02-17,15,0,По теме занятия,,,,,,,
ЧИПфд-01-19,0,1,1,1-7,26,0,Кислова М.Е.,15,Управление и автоматизация баз данных,л.,2022-02-14,15,180,По теме занятия,,,,,,,
ЧСАфд-01-21,0,1,2,1-7,26,0,Карпов А.И.,15,Информатика,л.,2022-02-14,15,178,По теме занятия,,,,,,,
ЧПКфд-02-20,0,1,3,1-7,26,0,Кислова М.Е.,15,Операционные системы,л.,2022-02-14,15,180,По теме занятия,,,,,,,
ЧИПфд-01-21,0,1,4,1-7,26,0,Карпов А.И.,15,Информатика,л.,2022-02-14,15,178,По теме занятия,,,,,,,
ЧИПфд-01-18,0,1,5,1-7,26,0,Кислова М.Е.,15,Моделирование и анализ программного обеспечения,л.,2022-02-14,15,180,По теме занятия,,,,,,,
ЧСЛфд-01-19,0,1,6,1-7,26,0,Кислова М.Е.,15,Информационные технологии в профессиональной деятельности,л.,2022-02-14,15,180,По теме занятия,,,,,,,
ЧИПфд-01-19,0,2,1,1-7,26,0,Кислова М.Е.,15,Управление и автоматизация баз данных,л.,2022-02-15,15,180,По теме занятия,,,,,,,
ЧСАфд-02-21,0,2,2,1-7,26,0,Карпов А.И.,15,Информатика,л.,2022-02-15,15,178,По теме занятия,,,,,,,
ЧПКфд-01-20,0,2,3,1-7,26,0,Кислова М.Е.,15,Операционные системы,л.,2022-02-15,15,180,По теме занятия,,,,,,,
ЧИПфд-02-21,0,2,4,1-7,26,0,Карпов А.И.,15,Информатика,л.,2022-02-15,15,178,По теме занятия,,,,,,,
ЧИПфд-01-18,0,2,5,1-7,26,0,Кислова М.Е.,15,Моделирование и анализ программного обеспечения,л.,2022-02-15,15,180,По теме занятия,,,,,,,
ЧПКфд-01-20,0,2,6,1-7,26,0,Кислова М.Е.,15,Операционные системы,л.,2022-02-15,15,180,По теме занятия,,,,,,,
ЧИПфд-01-18,0,3,1,1-7,26,0,Кислова М.Е.,15,Моделирование и анализ программного обеспечения,л.,2022-02-16,15,180,По теме занятия,,,,,,,
ЧСАфд-01-20,0,3,2,1-7,26,0,Кислова М.Е.,15,Операционные системы и среды,л.,2022-02-16,15,180,По теме занятия,,,,,,,
